"","x_coord","y_coord","complete_prob_17","complete_prob_18","complete_prob_19"
"1",-30,-10,0.749789656423791,0.768342627232648,0.635527791160074
"2",-29.5,-10,0.759599184496727,0.773808041054061,0.646802022537795
"3",-29,-10,0.769408712569663,0.779273454875474,0.658076253915516
"4",-28.5,-10,0.7792182406426,0.784738868696887,0.669350485293236
"5",-28,-10,0.789026749811489,0.790203868466747,0.680624505286417
"6",-27.5,-10,0.798817975348758,0.795661844695427,0.691889884936511
"7",-27,-10,0.808563916261693,0.801101418632813,0.703127520365686
"8",-26.5,-10,0.818236269660087,0.806511088846843,0.714317594273284
"9",-26,-10,0.827806732653731,0.811879353905457,0.725440289358649
"10",-25.5,-10,0.837247002352416,0.817194712376595,0.736475788321124
"11",-25,-10,0.846528775865935,0.822445662828199,0.747404273860052
"12",-24.5,-10,0.85562375030408,0.827620703828206,0.758205928674775
"13",-24,-10,0.864503622776641,0.832708333944559,0.768860935464639
"14",-23.5,-10,0.87314009039341,0.837697051745197,0.779349476928985
"15",-23,-10,0.88150485026418,0.84257535579806,0.789651735767156
"16",-22.5,-10,0.889569599498743,0.847331744671088,0.799747894678496
"17",-22,-10,0.897306035206888,0.851954716932221,0.809618136362348
"18",-21.5,-10,0.904685854498409,0.8564327711494,0.819242643518055
"19",-21,-10,0.911680754483098,0.860754405890564,0.828601598844961
"20",-20.5,-10,0.918262432270745,0.864908119723654,0.837675185042408
"21",-20,-10,0.924402584971142,0.868882411216609,0.846443584809739
"22",-19.5,-10,0.930072909694081,0.872665778937371,0.854886980846298
"23",-19,-10,0.935245103549355,0.876246721453878,0.862985555851428
"24",-18.5,-10,0.939890863646754,0.879613737334072,0.870719492524472
"25",-18,-10,0.94398188709607,0.882755325145892,0.878068973564773
"26",-17.5,-10,0.947489871007096,0.885659983457277,0.885014181671675
"27",-17,-10,0.950386512489621,0.88831621083617,0.89153529954452
"28",-16.5,-10,0.95264350865344,0.890712505850509,0.897612509882651
"29",-16,-10,0.954232556608342,0.892837367068234,0.903225995385412
"30",-15.5,-10,0.95512535346412,0.894679293057286,0.908355938752147
"31",-15,-10,0.955293596330566,0.896226782385605,0.912982522682197
"32",-14.5,-10,0.95470898231747,0.897468333621131,0.917085929874906
"33",-14,-10,0.953343601390404,0.898392607702256,0.920646343029618
"34",-13.5,-10,0.951199938912036,0.899000828229395,0.923652521280653
"35",-13,-10,0.948332002552897,0.89931551338708,0.926127529502236
"36",-12.5,-10,0.944798790706927,0.899361244065957,0.928103009003572
"37",-12,-10,0.940659301768069,0.899162601156672,0.929610601093865
"38",-11.5,-10,0.935972534130262,0.898744165549872,0.930681947082318
"39",-11,-10,0.930797486187449,0.898130518136204,0.931348688278135
"40",-10.5,-10,0.92519315633357,0.897346239806313,0.93164246599052
"41",-10,-10,0.919218542962567,0.896415911450847,0.931594921528676
"42",-9.5,-10,0.912932644468382,0.895364113960452,0.931237696201806
"43",-9,-10,0.906394459244954,0.894215428225774,0.930602431319116
